iso3c,gdp_pc_usd,savings_pct,pop_growth_pct,max_missing
ABW,0.10526315789473684,0.34210526315789475,0,0.34210526315789475
AFG,0.47368421052631576,1,0,1
AGO,0,0.5263157894736842,0,0.5263157894736842
ALB,0,0,0,0
AND,0,1,0,1
ARE,0,0.5,0,0.5
ARG,0,0,0,0
ARM,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
ASM,0.5263157894736842,1,0,1
ATG,0,1,0,1
AUS,0,0,0,0
AUT,0,0,0,0
AZE,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
BDI,0,0,0,0
BEL,0,0,0,0
BEN,0,0,0,0
BFA,0,0,0,0
BGD,0,0,0,0
BGR,0,0,0,0
BHR,0,0,0,0
BHS,0,0.02631578947368421,0,0.02631578947368421
BIH,0.21052631578947367,0.47368421052631576,0,0.47368421052631576
BLR,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
BLZ,0,0,0,0
BMU,0,0.7368421052631579,0,0.7368421052631579
BOL,0,0,0,0
BRA,0,0,0,0
BRB,0,1,0,1
BRN,0,0.13157894736842105,0,0.13157894736842105
BTN,0,0.21052631578947367,0,0.21052631578947367
BWA,0,0,0,0
CAF,0,0,0,0
CAN,0,0,0,0
CHE,0,0,0,0
CHI,0.4473684210526316,1,0,1
CHL,0,0,0,0
CHN,0,0,0,0
CIV,0,0,0,0
CMR,0,0,0,0
COD,0,0.3157894736842105,0,0.3157894736842105
COG,0,0,0,0
COL,0,0,0,0
COM,0,0,0,0
CPV,0,0.6578947368421053,0,0.6578947368421053
CRI,0,0,0,0
CUB,0,0,0,0
CUW,0.47368421052631576,0.631578947368421,0,0.631578947368421
CYM,0.631578947368421,1,0,1
CYP,0,0,0,0
CZE,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
DEU,0,0,0,0
DJI,0.10526315789473684,0.8157894736842105,0,0.8157894736842105
DMA,0,1,0,1
DNK,0,0,0,0
DOM,0,0,0,0
DZA,0,0,0,0
ECU,0,0,0,0
EGY,0,0,0,0
ERI,0.47368421052631576,0.47368421052631576,0,0.47368421052631576
ESP,0,0,0,0
EST,0.2894736842105263,0.2894736842105263,0,0.2894736842105263
ETH,0,0.7631578947368421,0,0.7631578947368421
FIN,0,0,0,0
FJI,0,1,0,1
FRA,0,0,0,0
FRO,0,0.42105263157894735,0,0.42105263157894735
FSM,0,0.9736842105263158,0,0.9736842105263158
GAB,0,0,0,0
GBR,0,0,0,0
GEO,0.13157894736842105,0,0,0.13157894736842105
GHA,0,0,0,0
GIB,1,1,0,1
GIN,0,0.10526315789473684,0,0.10526315789473684
GMB,0,0,0,0
GNB,0,0,0,0
GNQ,0,0.6052631578947368,0,0.6052631578947368
GRC,0,0,0,0
GRD,0,1,0,1
GRL,0,0.5526315789473685,0,0.5526315789473685
GTM,0,0,0,0
GUM,0.5263157894736842,1,0,1
GUY,0,0.3684210526315789,0,0.3684210526315789
HKG,0,0,0,0
HND,0,0,0,0
HRV,0.21052631578947367,0.34210526315789475,0,0.34210526315789475
HTI,0,0.15789473684210525,0,0.15789473684210525
HUN,0,0.23684210526315788,0,0.23684210526315788
IDN,0,0,0,0
IMN,0.05263157894736842,1,0,1
IND,0,0,0,0
IRL,0,0,0,0
IRN,0,0,0,0
IRQ,0,0,0,0
ISL,0,0,0,0
ISR,0,0,0,0
ITA,0,0,0,0
JAM,0,1,0,1
JOR,0,0,0,0
JPN,0,0,0,0
KAZ,0.21052631578947367,0.2894736842105263,0,0.2894736842105263
KEN,0,0,0,0
KGZ,0.21052631578947367,0.13157894736842105,0,0.21052631578947367
KHM,0,0.2894736842105263,0,0.2894736842105263
KIR,0,0.631578947368421,0,0.631578947368421
KNA,0,1,0,1
KOR,0,0,0,0
KWT,0,0,0,0
LAO,0.05263157894736842,0.42105263157894735,0,0.42105263157894735
LBN,0.15789473684210525,0.21052631578947367,0,0.21052631578947367
LBR,0,1,0,1
LBY,0,0.21052631578947367,0,0.21052631578947367
LCA,0,1,0,1
LIE,0,1,0,1
LKA,0,0.13157894736842105,0,0.13157894736842105
LSO,0,0.6578947368421053,0,0.6578947368421053
LTU,0.34210526315789475,0.34210526315789475,0,0.34210526315789475
LUX,0,0,0,0
LVA,0.34210526315789475,0.34210526315789475,0,0.34210526315789475
MAC,0,0,0,0
MAF,0.9210526315789473,1,0,1
MAR,0,0,0,0
MCO,0,1,0,1
MDA,0.21052631578947367,0.34210526315789475,0,0.34210526315789475
MDG,0,0,0,0
MDV,0,0.8421052631578947,0,0.8421052631578947
MEX,0,0,0,0
MHL,0,0.5789473684210527,0,0.5789473684210527
MKD,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
MLI,0,0,0,0
MLT,0,0,0,0
MMR,0,1,0,1
MNE,0.39473684210526316,0.47368421052631576,0,0.47368421052631576
MNG,0,0,0,0
MNP,0.5263157894736842,1,0,1
MOZ,0.23684210526315788,0.23684210526315788,0,0.23684210526315788
MRT,0,0,0,0
MUS,0,0,0,0
MWI,0,0.9210526315789473,0,0.9210526315789473
MYS,0,0,0,0
"NAM",0,0,0,0
NCL,0,0.39473684210526316,0,0.39473684210526316
NER,0,0,0,0
NGA,0,1,0,1
NIC,0,0.3157894736842105,0,0.3157894736842105
NLD,0,0,0,0
NOR,0,0,0,0
NPL,0,0,0,0
NRU,0,1,0,1
NZL,0,0,0.02631578947368421,0.02631578947368421
OMN,0,0,0,0
PAK,0,0,0,0
PAN,0,0,0,0
PER,0,0,0,0
PHL,0,0,0,0
PLW,0,0.6052631578947368,0,0.6052631578947368
PNG,0,0.39473684210526316,0,0.39473684210526316
POL,0.21052631578947367,0.34210526315789475,0,0.34210526315789475
PRK,1,1,0,1
PRT,0,0,0,0
PRY,0,0,0,0
PSE,0.3157894736842105,0.3157894736842105,0.23684210526315788,0.3157894736842105
PYF,0,0.6052631578947368,0,0.6052631578947368
QAT,0,0.3157894736842105,0,0.3157894736842105
ROU,0.13157894736842105,0.21052631578947367,0,0.21052631578947367
RUS,0.15789473684210525,0.15789473684210525,0,0.15789473684210525
RWA,0,0,0,0
SAU,0,0,0,0
SDN,0,0,0,0
SEN,0,0,0,0
SGP,0,0,0,0
SLB,0,0,0,0
SLE,0,0,0,0
SLV,0,0,0,0
SMR,0.39473684210526316,0.868421052631579,0,0.868421052631579
SRB,0.34210526315789475,0.34210526315789475,0,0.34210526315789475
SSD,0.7894736842105263,0.7894736842105263,0,0.7894736842105263
STP,0,1,0,1
SUR,0,0.868421052631579,0,0.868421052631579
SVK,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
SVN,0.21052631578947367,0.21052631578947367,0,0.21052631578947367
SWE,0,0,0,0
SWZ,0,0.8157894736842105,0,0.8157894736842105
SXM,0.7105263157894737,1,0,1
SYC,0,0,0,0
SYR,0,0,0,0
TCA,0.5,1,0,1
TCD,0,0,0,0
TGO,0,0,0,0
THA,0,0,0,0
TJK,0.21052631578947367,0.2894736842105263,0,0.2894736842105263
TKM,0.13157894736842105,0.42105263157894735,0,0.42105263157894735
TLS,0.21052631578947367,0.47368421052631576,0,0.47368421052631576
TON,0,0,0,0
TTO,0,1,0,1
TUN,0,0,0,0
TUR,0,0,0,0
TUV,0,1,0,1
TZA,0,0.21052631578947367,0,0.21052631578947367
UGA,0,0,0,0
UKR,0.13157894736842105,0.18421052631578946,0,0.18421052631578946
URY,0,0,0,0
USA,0,0,0,0
UZB,0.13157894736842105,0.2631578947368421,0,0.2631578947368421
VCT,0,1,0,1
VEN,0,0,0,0
VGB,1,1,0,1
VIR,0.5263157894736842,0.5263157894736842,0,0.5263157894736842
VNM,0.07894736842105263,0.34210526315789475,0,0.34210526315789475
VUT,0,0.02631578947368421,0,0.02631578947368421
WSM,0,0.7105263157894737,0,0.7105263157894737
XKX,0.6842105263157895,0.6842105263157895,0,0.6842105263157895
YEM,0.23684210526315788,0.23684210526315788,0,0.23684210526315788
ZAF,0,0,0,0
ZMB,0,0.7368421052631579,0,0.7368421052631579
ZWE,0,0,0,0
